類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,私人住宅大樓,WYA01246,民權里,臺北市大同區民權西路146號,"25.062764,121.515811",B02,1313,大同分局,
一般住宅,私人住宅大樓,WYA01247,民權里,臺北市大同區民權西路144巷7號,"25.062116,121.515998",B02,1313,大同分局,
一般住宅,私人住宅大樓,WYA01248,民權里,臺北市大同區民權西路144巷13號,"25.061833,121.516006",B02,1313,大同分局,
一般住宅,私人住宅大樓,WYA01254,民權里,臺北市大同區民權西路144巷9號,"25.062047,121.516009",B01,1161,大同分局,
一般住宅,私人住宅大樓,WYA01255,民權里,臺北市大同區民權西路144巷12號,"25.06275,121.516409",B01,322,大同分局,
一般住宅,私人住宅大樓,WYA01263,民權里,臺北市大同區民權西路136號,"25.06275,121.516409",B01B03,3418,大同分局,
一般住宅,公寓,WYA01264,民權里,臺北市大同區民權西路102巷4弄23號,"25.061681,121.517035",B01,96,大同分局,
一般住宅,私人住宅大樓,WYA01270,民權里,臺北市大同區民權西路104號,"25.062705,121.51752",B01,140,大同分局,
一般住宅,公寓,WYA01272,民權里,臺北市大同區民權西路106號,"25.062722,121.517319",B01,95,大同分局,
一般住宅,私人住宅大樓,WYA01392,民權里,臺北市大同區承德路二段239號,"25.062495,121.518512",B01,1714,大同分局,
一般住宅,私人住宅大樓,WYA01411,民權里,臺北市大同區重慶北路二段241號,"25.062448,121.513793",B04,1787,大同分局,
一般住宅,私人住宅大樓,WYA01425,民權里,臺北市大同區寧夏路130號,"25.060383,121.514371",B01,190,大同分局,
一般住宅,天禧名門公寓大廈,WYA01442,民權里,臺北市大同區寧夏路145號,"25.061053,121.514375",B04,589,大同分局,
一般住宅,私人住宅大樓,WYA01468,民權里,臺北市大同區承德路二段206-208號,"25.062366,121.518032",B03,1404,大同分局,
一般住宅,第芬妮大樓,WYA01469,民權里,臺北市大同區民權西路120號,"25.062735,121.516814",B02,318,大同分局,
一般住宅,國品大樓,WYA01491,民權里,臺北市大同區重慶北路二段195-3號,"25.0604647,121.513706",B01,493,大同分局,
一般住宅,湄雅之旅大廈,WYA01508,民權里,臺北市大同區民權西路122號,"25.062718,121.516657",B01,89,大同分局,
一般住宅,華固千代田公寓大廈,WYA01528,民權里,臺北市大同區承德路二段168號,"25.061033,121.518028",B01,1284,大同分局,
一般住宅,私人住宅大樓,WYA01544,民權里,臺北市大同區民權西路108號B5,"25.062729,121.517126",B05,615,大同分局,
一般住宅,首善,WYA01545,民權里,臺北市大同區涼州街2號,"25.060811,121.515804",B04,1919,大同分局,
