類型,觀光遊憩區,細分,縣市,縣市別,name,space_name
其他, -,猴硐煤礦博物園區,新北市,65000,新北市猴硐煤礦博物園區,新北市 猴硐煤礦博物園區
其他, -,關渡自然公園,臺北市,63000,臺北市關渡自然公園,臺北市 關渡自然公園
其他, -,美麗華摩天輪,臺北市,63000,臺北市美麗華摩天輪,臺北市 美麗華摩天輪
其他, -,台北101景觀台,臺北市,63000,臺北市台北101景觀台,臺北市 台北101景觀台
其他, -,雲仙樂園,新北市,65000,新北市雲仙樂園,新北市 雲仙樂園
其他, -,大板根森林溫泉渡假村,新北市,65000,新北市大板根森林溫泉渡假村,新北市 大板根森林溫泉渡假村
其他, -,龍山寺,臺北市,63000,臺北市龍山寺,臺北市 龍山寺
其他, -,臺北市孔廟,臺北市,63000,臺北市臺北市孔廟,臺北市 臺北市孔廟
其他, -,淡水紅毛城,新北市,65000,新北市淡水紅毛城,新北市 淡水紅毛城
其他, -,滬尾砲臺,新北市,65000,新北市滬尾砲臺,新北市 滬尾砲臺
其他, -,前清淡水關稅務司官邸,新北市,65000,新北市前清淡水關稅務司官邸,新北市 前清淡水關稅務司官邸
其他, -,鶯歌老街,新北市,65000,新北市鶯歌老街,新北市 鶯歌老街
其他, -,三峽老街,新北市,65000,新北市三峽老街,新北市 三峽老街
其他, -,八里左岸公園,新北市,65000,新北市八里左岸公園,新北市 八里左岸公園
其他, -,淡水金色水岸,新北市,65000,新北市淡水金色水岸,新北市 淡水金色水岸
其他, -,水湳洞遊客中心,新北市,65000,新北市水湳洞遊客中心,新北市 水湳洞遊客中心
博物館, -,國立臺灣博物館,臺北市,63000,臺北市國立臺灣博物館,臺北市 國立臺灣博物館
其他, -,台北市立兒童新樂園,臺北市,63000,臺北市台北市立兒童新樂園,臺北市 台北市立兒童新樂園
其他, -,台北植物園,臺北市,63000,臺北市台北植物園,臺北市 台北植物園
其他, -,華山1914文化創意產業園區,臺北市,63000,臺北市華山1914文化創意產業園區,臺北市 華山1914文化創意產業園區
國家公園,陽明山國家公園,冷水坑,臺北市,63000,臺北市冷水坑,臺北市 冷水坑
國家公園,陽明山國家公園,擎天崗,臺北市,63000,臺北市擎天崗,臺北市 擎天崗
其他, -,林口三井Outlet,新北市,65000,新北市林口三井Outlet,新北市 林口三井Outlet
其他, -,松山文創園區,臺北市,63000,臺北市松山文創園區,臺北市 松山文創園區
其他, -,白石湖吊橋,臺北市,63000,臺北市白石湖吊橋,臺北市 白石湖吊橋
