年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,博物館, -,北投溫泉博物館,臺北市,63000,34088.0,38693.0,35707.0,37188.0,34755.0,32983.0,44778.0,47214.0,44313.0,40964.0,43422.0,48988.0,483093
2012,博物館, -,台北故事館,臺北市,63000,10049.0,7956.0,8710.0,9214.0,8955.0,9028.0,7937.0,8920.0,9740.0,8358.0,8202.0,18174.0,115243
2012,博物館, -,林本源園邸( 林家花園),新北市,65000,35523.0,29097.0,31149.0,33866.0,28887.0,18288.0,32047.0,29181.0,28676.0,35449.0,31015.0,25879.0,359057
2012,博物館, -,三峽歷史文物館,新北市,65000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,600.0,4456.0,5756
2012,博物館, -,凱達格蘭文化館,臺北市,63000,22812.0,25317.0,26623.0,33849.0,24985.0,15547.0,28912.0,27609.0,27394.0,36132.0,33230.0,37503.0,339913
2012,宗教場所, -,清水祖師廟,新北市,65000,4185.0,4486.0,805.0,1874.0,1204.0,924.0,1820.0,835.0,1190.0,1732.0,1285.0,1430.0,21770
2012,宗教場所, -,法鼓山世界佛教教育園區,新北市,65000,20573.0,32877.0,23681.0,31900.0,23560.0,18293.0,25064.0,21218.0,25131.0,26570.0,36540.0,27610.0,313017
2012,其他, -,國民革命忠烈祠,臺北市,63000,108787.0,116586.0,139661.0,132964.0,114141.0,103061.0,95867.0,124398.0,119965.0,151068.0,141264.0,125377.0,1473139
2012,其他, -,國立臺灣藝術教育館,臺北市,63000,22999.0,27446.0,24788.0,30345.0,25663.0,20193.0,25380.0,15483.0,22482.0,40317.0,25218.0,24225.0,304539
2012,其他, -,市立動物園,臺北市,63000,302517.0,209193.0,260382.0,297866.0,201743.0,177687.0,233244.0,233618.0,213465.0,333388.0,258939.0,245192.0,2967234
2012,其他, -,士林官邸公園,臺北市,63000,191000.0,180800.0,150000.0,115000.0,119000.0,90000.0,85000.0,65000.0,69000.0,72000.0,314310.0,171510.0,1622620
2012,其他, -,臺北自來水園區,臺北市,63000,70678.0,72500.0,83313.0,85602.0,99125.0,114223.0,188374.0,129088.0,85048.0,75758.0,76445.0,78653.0,1158807
2012,其他, -,十分瀑布,新北市,65000,26387.0,29875.0,28434.0,37765.0,36823.0,31425.0,50331.0,42023.0,33531.0,36830.0,32686.0,27965.0,414075
2012,其他, -,十分旅遊服務中心,新北市,65000,81680.0,254640.0,67000.0,115244.0,84739.0,87058.0,90800.0,62620.0,75600.0,97535.0,74625.0,67718.0,1159259
