類型,觀光遊憩區,細分,縣市,縣市別,lat,lon
國家級風景特定區,北海岸及觀音山國家風景區,觀音山,新北市,65000,25.11919,121.411032
國家級風景特定區,北海岸及觀音山國家風景區,野柳海洋世界,新北市,65000,25.203846,121.68766
國家級風景特定區,北海岸及觀音山國家風景區,金山遊憩區,新北市,65000,25.07772,121.853896
國家級風景特定區,北海岸及觀音山國家風景區,三芝遊憩區,新北市,65000,25.259256,121.502495
直轄市及縣(市)級風景特定區, -,烏來風景特定區,新北市,65000,24.86466,121.551895
直轄市及縣(市)級風景特定區, -,碧潭風景特定區,新北市,65000,25.011997,121.465662
直轄市及縣(市)級風景特定區, -,瑞芳風景特定區,新北市,65000,25.108543,121.80583
森林遊樂區, -,滿月圓國家森林遊樂區,新北市,65000,24.836125,121.445183
森林遊樂區, -,內洞國家森林遊樂區,新北市,65000,24.833849, 121.525587
博物館, -,國立故宮博物院,臺北市,63000,25.09674,121.547186
博物館, -,市立美術館,臺北市,63000,25.03752,121.56368
博物館, -,國立歷史博物館,臺北市,63000,25.1608,121.406643
博物館, -,國立臺灣科學教育館,臺北市,63000,25.03752,121.56368
博物館, -,市立天文科學教育館,臺北市,63000,25.03752,121.56368
博物館, -,國父紀念館,臺北市,63000,25.045032,121.515025
博物館, -,國立中正紀念堂,臺北市,63000,25.051865,121.54671
博物館, -,臺北探索館,臺北市,63000,25.045032,121.515025
博物館, -,坪林茶業博物館,新北市,65000,24.935179,121.710526
博物館, -,新北市立鶯歌陶瓷博物館,新北市,65000,25.1608,121.406643
博物館, -,新北市立十三行博物館,新北市,65000,25.1608,121.406643
博物館, -,新北市黃金博物園區,新北市,65000,25.016165,121.46311
博物館, -,新北市客家文化園區,新北市,65000,24.942015,121.360555
博物館, -,台北當代藝術館,臺北市,63000,25.044743,121.53953
博物館, -,朱銘美術館,新北市,65000,25.011997,121.465662
博物館, -,北投溫泉博物館,臺北市,63000,25.13338,121.5024
博物館, -,台北故事館,臺北市,63000,25.045032,121.515025
博物館, -,林本源園邸( 林家花園),新北市,65000,24.934069,121.55281
博物館, -,三峽歷史文物館,新北市,65000,24.935263,121.373474
博物館, -,凱達格蘭文化館,臺北市,63000,25.136093,121.49714
宗教場所, -,清水祖師廟,新北市,65000,25.022508,121.822114
宗教場所, -,法鼓山世界佛教教育園區,新北市,65000,25.059283,121.611704
其他, -,國民革命忠烈祠,臺北市,63000,25.03752,121.56368
其他, -,國立臺灣藝術教育館,臺北市,63000,25.03752,121.56368
其他, -,市立動物園,臺北市,63000,25.059283,121.611704
其他, -,士林官邸公園,臺北市,63000,25.044918,121.51677
其他, -,臺北自來水園區,臺北市,63000,25.059069,121.611979
其他, -,十分瀑布,新北市,65000,25.04378,121.77849
其他, -,十分旅遊服務中心,新北市,65000,25.04378,121.77849
其他, -,淡水漁人碼頭,新北市,65000,25.172283,121.44501
其他, -,猴硐煤礦博物園區,新北市,65000,25.089075,121.83082
其他, -,關渡自然公園,臺北市,63000,25.12306,121.46691
其他, -,美麗華摩天輪,臺北市,63000,25.03752,121.56368
其他, -,台北101景觀台,臺北市,63000,25.044743,121.53953
其他, -,雲仙樂園,新北市,65000,25.011997,121.465662
其他, -,大板根森林溫泉渡假村,新北市,65000,25.13338,121.5024
其他, -,龍山寺,臺北市,63000,25.03752,121.56368
其他, -,臺北市孔廟,臺北市,63000,25.044743,121.53953
其他, -,淡水紅毛城,新北市,65000,25.07087,121.664406
其他, -,滬尾砲臺,新北市,65000,25.016165,121.46311
其他, -,前清淡水關稅務司官邸,新北市,65000,25.172283,121.44501
其他, -,鶯歌老街,新北市,65000,24.953703,121.350746
其他, -,三峽老街,新北市,65000,24.932822,121.369303
其他, -,八里左岸公園,新北市,65000,25.129601,121.73812
其他, -,淡水金色水岸,新北市,65000,25.16658,121.44633
其他, -,水湳洞遊客中心,新北市,65000,24.955901,121.787849
博物館, -,國立臺灣博物館,臺北市,63000,25.03752,121.56368
其他, -,台北市立兒童新樂園,臺北市,63000,25.044743,121.53953
其他, -,台北植物園,臺北市,63000,25.044743,121.53953
其他, -,華山1914文化創意產業園區,臺北市,63000,25.059283,121.611704
國家公園,陽明山國家公園,冷水坑,臺北市,63000,25.155785,121.562144
國家公園,陽明山國家公園,擎天崗,臺北市,63000,25.03752,121.56368
其他, -,林口三井Outlet,新北市,65000,25.077291,121.392944
其他, -,松山文創園區,臺北市,63000,25.059283,121.611704
其他, -,白石湖吊橋,臺北市,63000,25.02089,121.7193
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭龍洞遊憩區,新北市,65000,25.121784,121.9196
國家級風景特定區,東北角暨宜蘭海岸國家風景區,鹽寮福隆遊憩區,新北市,65000,25.01674,121.94496
直轄市及縣(市)級風景特定區,-,烏來風景特定區,新北市,65000,24.86466,121.551895
直轄市及縣(市)級風景特定區,-,碧潭風景特定區,新北市,65000,25.011997,121.465662
直轄市及縣(市)級風景特定區,-,瑞芳風景特定區,新北市,65000,25.108543,121.80583
森林遊樂區,-,滿月圓國家森林遊樂區,新北市,65000,24.836125, 121.445183
森林遊樂區,-,內洞國家森林遊樂區,新北市,65000,24.833849, 121.525587
博物館,-,國立故宮博物院,臺北市,63000,25.09674,121.547186
博物館,-,臺北市立美術館,臺北市,63000,25.044743,121.53953
博物館,-,國立歷史博物館,臺北市,63000,25.1608,121.406643
博物館,-,國立臺灣科學教育館,臺北市,63000,25.03752,121.56368
博物館,-,臺北市立天文科學教育館,臺北市,63000,25.044743,121.53953
博物館,-,國立國父紀念館,臺北市,63000,25.045032,121.515025
博物館,-,國立中正紀念堂,臺北市,63000,25.051865,121.54671
博物館,-,臺北探索館,臺北市,63000,25.045032,121.515025
博物館,-,坪林茶業博物館,新北市,65000,24.935179,121.710526
博物館,-,新北市立鶯歌陶瓷博物館,新北市,65000,25.1608,121.406643
博物館,-,新北市立十三行博物館,新北市,65000,25.1608,121.406643
博物館,-,新北市黃金博物園區,新北市,65000,25.016165,121.46311
博物館,-,新北市客家文化園區,新北市,65000,24.942015,121.360555
博物館,-,台北當代藝術館,臺北市,63000,25.044743,121.53953
博物館,-,朱銘美術館,新北市,65000,25.011997,121.465662
博物館,-,北投溫泉博物館,臺北市,63000,25.13338,121.5024
博物館,-,圓山別莊,臺北市,63000,25.06329,121.56591
博物館,-,林本源園邸(林家花園),新北市,65000,24.934069,121.55281
博物館,-,三峽歷史文物館,新北市,65000,24.935263,121.373474
博物館,-,凱達格蘭文化館,臺北市,63000,25.136093,121.49714
博物館,-,國立臺灣博物館,臺北市,63000,25.03752,121.56368
宗教場所,-,清水祖師廟,新北市,65000,25.022508,121.822114
宗教場所,-,法鼓山世界佛教教育園區,新北市,65000,25.059283,121.611704
其他,-,國民革命忠烈祠,臺北市,63000,25.03752,121.56368
其他,-,國立臺灣藝術教育館,臺北市,63000,25.03752,121.56368
其他,-,臺北市立動物園,臺北市,63000,25.059283,121.611704
其他,-,士林官邸公園,臺北市,63000,25.044918,121.51677
其他,-,臺北自來水園區,臺北市,63000,25.059069,121.611979
其他,-,十分瀑布,新北市,65000,25.04378,121.77849
其他,-,十分旅遊服務中心,新北市,65000,25.04378,121.77849
其他,-,淡水漁人碼頭,新北市,65000,25.172283,121.44501
其他,-,猴硐煤礦博物園區,新北市,65000,25.089075,121.83082
其他,-,水湳洞遊客中心,新北市,65000,24.955901,121.787849
其他,-,林口三井Outlet,新北市,65000,25.077291,121.392944
其他,-,關渡自然公園,臺北市,63000,25.12306,121.46691
其他,-,美麗華摩天輪,臺北市,63000,25.03752,121.56368
其他,-,台北101景觀台,臺北市,63000,25.044743,121.53953
其他,-,雲仙樂園,新北市,65000,25.011997,121.465662
其他,-,大板根森林溫泉渡假村,新北市,65000,25.13338,121.5024
其他,-,臺北市孔廟,臺北市,63000,25.044743,121.53953
其他,-,淡水紅毛城,新北市,65000,25.07087,121.664406
其他,-,滬尾砲臺,新北市,65000,25.016165,121.46311
其他,-,前清淡水關稅務司官邸,新北市,65000,25.172283,121.44501
其他,-,臺北市立兒童新樂園,臺北市,63000,25.044743,121.53953
其他,-,台北植物園,臺北市,63000,25.044743,121.53953
其他,-,華山1914文化創意產業園區,臺北市,63000,25.059283,121.611704
其他,-,松山文創園區,臺北市,63000,25.059283,121.611704
其他,-,鶯歌老街,新北市,65000,24.953703,121.350746
其他,-,三峽老街,新北市,65000,24.932822,121.369303
其他,-,八里左岸公園,新北市,65000,25.129601,121.73812
其他,-,淡水金色水岸,新北市,65000,25.16658,121.44633
其他,-,白石湖吊橋,臺北市,63000,25.02089,121.7193
國家公園,-,陽明山遊客中心,臺北市,63000,25.137403,121.54202
國家公園,-,陽明書屋,臺北市,63000,25.137403,121.54202
國家公園,-,陽明公園,臺北市,63000,25.044918,121.51677
國家公園,-,大屯遊憩區,臺北市,63000,25.148842,121.50517
國家公園,-,龍鳳谷遊憩區,臺北市,63000,25.03752,121.56368
國家公園,-,小油坑遊憩區,臺北市,63000,25.176049,121.544341
國家公園,-,冷水坑,臺北市,63000,25.155785,121.562144
國家公園,-,擎天崗,臺北市,63000,25.03752,121.56368
國家級風景特定區,-,鼻頭龍洞遊憩區,新北市,65000,25.121784,121.9196
國家級風景特定區,-,鹽寮福隆遊憩區,新北市,65000,25.01674,121.94496
國家級風景特定區,-,野柳地質公園,新北市,65000,25.203846,121.68766
國家級風景特定區,-,白沙灣,新北市,65000,25.283229,121.52064
國家級風景特定區,-,翡翠灣濱海遊憩區,新北市,65000,25.111145,121.2678
國家級風景特定區,-,觀音山,新北市,65000,25.11919,121.411032
國家級風景特定區,-,野柳海洋世界,新北市,65000,25.203846,121.68766
國家級風景特定區,-,金山遊憩區,新北市,65000,25.07772,121.853896
國家級風景特定區,-,三芝遊憩區,新北市,65000,25.259256,121.502495
博物館,-,台北探索館,臺北市,63000,25.045032,121.515025
博物館,-,新北市坪林茶業博物館,新北市,65000,25.1608,121.406643
博物館,-,新北市立黃金博物館,新北市,65000,25.1608,121.406643
博物館,-,林本源園邸(林家花園) ,新北市,65000,24.934069,121.55281
其他,-,十分遊客中心,新北市,65000,25.04378,121.77849
其他,-,台北101,臺北市,63000,25.044743,121.53953
其他,-,大板根森林溫泉酒店,新北市,65000,24.97521,121.540565
其他,-,滬尾礮臺,新北市,65000,25.016165,121.46311
其他,-,前清淡水關稅務司官邸 (小白宮),新北市,65000,25.172283,121.44501
