category,number,village,address,location,floor,capacity,unit,note
私人住宅大樓,D302000285,頭前里,新北市新莊區頭前里化成路524巷39號2,"25.05276,121.4668",B01,128,新莊分局,
公寓,D302000286,頭前里,新北市新莊區頭前里化成路614號,"25.0548,121.4666",B01,201,新莊分局,
台北醫院,D302000289,思源里,新北市新莊區思源里思源路127號,"25.04324,121.45962",B01,3128,新莊分局,
公寓,D302000290,信義里,新北市新莊區信義里福壽街112巷14號,"25.05071,121.4587",B01,783,新莊分局,
公寓,D302000292,頭前里,新北市新莊區頭前里化成路540號1,"25.05322,121.4664",B01,1025,新莊分局,
私人住宅大樓,D302000293,化成里,新北市新莊區化成里化成路113巷2333號,"25.04737,121.4622",B01,1820,新莊分局,
公寓,D302000294,思源里,新北市新莊區思源里明中街12號,"25.03856,121.4585",B01,3029,新莊分局,
私人住宅大樓,D302000295,頭前里,新北市新莊區頭前里化成路371巷523號,"25.05701,121.4636",B01,484,新莊分局,
公寓,D302000297,福基里,新北市新莊區福基里化成路415號,"25.05916,121.4648",B01,38,新莊分局,
私人住宅大樓,D302000299,思源里,新北市新莊區思源里11鄰思源路193號,"25.045857,121.4596",B01,404,新莊分局,
台北醫院,D302000300,思源里,新北市新莊區思源里思源路127號,"25.04324,121.45962",B01,210,新莊分局,
公寓,D302000303,頭前里,新北市新莊區頭前里化成路205號4,"25.05095,121.4659",B01,1064,新莊分局,
公寓,D302000304,化成里,新北市新莊區化成里化成路63巷21號,"25.04576,121.4643",B01,220,新莊分局,
公寓,D302000306,信義里,新北市新莊區信義里幸福路210號,"25.04947,121.4562",B01,2160,新莊分局,
永新興業公司,D302000307,思源里,新北市新莊區思源里思源路42巷3號,"25.04365,121.4606",B01,574,新莊分局,
亞運保齡球館,D302000310,化成里,新北市新莊區化成里化成路338號,"25.04882,121.4658",B01,39,新莊分局,
公寓,D302000312,化成里,新北市新莊區化成里化成路30號,"25.04281,121.465",B01,854,新莊分局,
公寓,D302000313,頭前里,新北市新莊區頭前里化成路205號,"25.05095,121.4659",B01,429,新莊分局,
公寓,D302000314,頭前里,新北市新莊區頭前里化成路205號45,"25.05095,121.4659",B01,715,新莊分局,
嘉鏵生技公司,D302000319,化成里,新北市新莊區化成里化成路288號,"25.04773,121.4658",B02,80,新莊分局,
TOYOTA公司,D302000321,思源里,新北市新莊區思源里明中街10號,"25.03855,121.4587",B01,4030,新莊分局,
公寓,D302000323,思源里,新北市新莊區思源里復興路2段163號,"25.04453,121.4584",B01,1084,新莊分局,
中軸私人住宅大樓,D302000324,思源里,新北市新莊區思源里思源路38號,"25.04263,121.4602",B03,209,新莊分局,
相互公司,D302000330,頭前里,新北市新莊區頭前里化成路195巷25號,"25.05049,121.4637",B03,372,新莊分局,
公寓,D302000331,仁義里,新北市新莊區仁義里福壽街14巷10號,"25.04778,121.4583",B01,1867,新莊分局,
謹良公司,D302000332,福基里,新北市新莊區福基里化成路746巷5號,"25.05796,121.4664",B02,348,新莊分局,
公寓,D302000334,化成里,新北市新莊區化成里化成路32號,"25.04301,121.465",B01,65,新莊分局,
昇陽新莊公寓,D302000335,信義里,新北市新莊區信義里福壽街124巷18號,"25.05125,121.4587",B01,1440,新莊分局,
遠雄建設,D302000336,思源里,新北市新莊區思源里中正路66號,"25.03883,121.46",B01,1707,新莊分局,
公寓,D302000340,化成里,新北市新莊區化成里化成路110號,"25.04442,121.4655",B02,238,新莊分局,
公寓,D302000341,思源里,新北市新莊區思源里思源路131號,"25.04353,121.4596",B01,614,新莊分局,
衡奕公司,D302000343,頭前里,新北市新莊區頭前里化成路305號1,"25.05542,121.4659",B03,44,新莊分局,
華志彈簧公司,D302000345,頭前里,新北市新莊區頭前里化成路211巷3號,"25.05164,121.4648",B03,434,新莊分局,
公寓,D302000347,仁義里,新北市新莊區仁義里福壽街14巷1號,"25.0479,121.4583",B01,1490,新莊分局,
公寓,D302000349,思源里,新北市新莊區思源里思源路139號,"25.04387,121.4596",B02,919,新莊分局,
頭前國小,D302000350,頭前里,新北市新莊區頭前里化成路231號,"25.05293,121.4661",B03,1004,新莊分局,
川慶科技公司,D302000351,化成里,新北市新莊區化成里化成路83巷12號,"25.04656,121.4646",B01,925,新莊分局,
龍躍新莊公寓,D302000353,思源里,新北市新莊區思源里思源路181號,"25.04543,121.4596",B01,318,新莊分局,
署立台北醫院,D302000355,思源里,新北市新莊區思源里思源路127號,"25.04324,121.45962",B02,1873,新莊分局,
金莊悅泉公寓,D302000358,福基里,新北市新莊區福基里福前街500號,"25.06006,121.4625",B02,4106,新莊分局,
幸福皇居公寓(幸福特區),D302000359,思源里,新北市新莊區思源里福樂街56巷25號,"25.0462,121.4592",B03,567,新莊分局,
台灣電力公司,D302000360,化成里,新北市新莊區化成里化成路135號,"25.047571,121.46549",B02,1532,新莊分局,
頭前派出所,D302000361,化成里,新北市新莊區化成里化成路312號,"25.04823,121.46585",B02,135,新莊分局,
茂金金典公寓,D302000363,頭前里,新北市新莊區頭前里頭前路111號,"25.05224,121.4643",B01,753,新莊分局,
上和苑公寓,D302000364,福基里,新北市新莊區福基里福美街120號,"25.05726,121.4608",B02,1525,新莊分局,
私人住宅大樓,D302000366,福基里,新北市新莊區福基里新北大道二段77號,"25.06107,121.4658",B03,550,新莊分局,
藝術首席公寓,D302000368,化成里,新北市新莊區化成里思源路230巷38號,"25.04848,121.4611",B03,1248,新莊分局,
